No,Southwestern Ojibwe,English(raw),Conjugation,English(formatted)
2190,waniššinsiwaank,we (excl.) are not lost,1p AI Conjunct Indicative,we are not lost
2191,miicissiwaankipan,"we (excl.) did not eat it, them (inan.)",1p→0 TI3 Conjunct Preterit,we did not eat it
2192,miicissiwaankipan,"we (excl.) did not eat it, them (inan.)",1p→0 TI3 Conjunct Preterit,we did not eat them(plur.)
2193,maacaassiwaankipan,we (excl.) did not leave,1p AI Conjunct Preterit,we did not leave
2194,waniššinsiwaankipan,we (excl.) were not lost,1p AI Conjunct Preterit,we were not lost
2195,miicissiwampan,"you (sg.) did not eat it, them (inan.)",2s→0 TI3 Conjunct Preterit,you did not eat it
2196,miicissiwampan,"you (sg.) did not eat it, them (inan.)",2s→0 TI3 Conjunct Preterit,you did not eat them(plur.)
2197,maacaassiwampan,you (sg.) did not leave,2s AI Conjunct Preterit,you did not leave
2198,waniššinsiwampan,you (sg.) were not lost,2s AI Conjunct Preterit,you were not lost
2199,miicissiwan,"you (sg.) do not eat it, them (inan.)",2s→0 TI3 Conjunct Indicative,you do not eat it
2200,miicissiwan,"you (sg.) do not eat it, them (inan.)",2s→0 TI3 Conjunct Indicative,you do not eat them(plur.)
2201,maacaassiwan,you (sg.) do not leave,2s AI Conjunct Indicative,you do not leave
2202,waniššinsiwan,you (sg.) are not lost,2s AI Conjunct Indicative,you are not lost
2203,miicissiwank,"we (incl.) do not eat it, them (inan.)",21→0 TI3 Conjunct Indicative,we do not eat it
2204,miicissiwank,"we (incl.) do not eat it, them (inan.)",21→0 TI3 Conjunct Indicative,we do not eat them(plur.)
2205,maacaassiwank,we (incl.) do not leave,21 AI Conjunct Indicative,we do not leave
2206,waniššinsiwank,we (incl.) are not lost,21 AI Conjunct Indicative,we are not lost
2207,miicissiwankipan,"we (incl.) did not eat it, them (inan.)",21→0 TI3 Conjunct Preterit,we did not eat it
2208,miicissiwankipan,"we (incl.) did not eat it, them (inan.)",21→0 TI3 Conjunct Preterit,we did not eat them(plur.)
2209,maacaassiwankipan,we (incl.) did not leave,21 AI Conjunct Preterit,we did not leave
2210,waniššinsiwankipan,we (incl.) were not lost,21 AI Conjunct Preterit,we were not lost
2211,miicissiwek,"you (pl.) do not eat it, them (inan.)",2p→0 TI3 Conjunct Indicative,you do not eat it
2212,miicissiwek,"you (pl.) do not eat it, them (inan.)",2p→0 TI3 Conjunct Indicative,you do not eat them(plur.)
2213,maacaassiwek,you (pl.) do not leave,2p AI Conjunct Indicative,you do not leave
2214,miicissiwekipan,"you (pl.) did not eat it, them (inan.)",2p→0 TI3 Conjunct Preterit,you did not eat it
2215,miicissiwekipan,"you (pl.) did not eat it, them (inan.)",2p→0 TI3 Conjunct Preterit,you did not eat them(plur.)
2216,maacaassiwekipan,you (pl.) did not leave,2p AI Conjunct Preterit,you did not leave
2217,waniššinsiwekipan,you (pl.) were not lost,2p AI Conjunct Preterit,you were not lost
2218,miicit,"s/he eats it, them (inan.)",3s→0 TI3 Conjunct Indicative,they(sing.) eat it
2219,miicit,"s/he eats it, them (inan.)",3s→0 TI3 Conjunct Indicative,they(sing.) eat them(plur.)
2220,miccaatok,it must be big,0s II Independent Dubitative,it must be big
2221,sanakatotok,it must be difficult,0s II Independent Dubitative,it must be difficult
2222,pankissinotok,it must be falling,0s II Independent Dubitative,it must be falling
2223,miccaatokenan,they (inan.) must be big,0p II Independent Dubitative,they(plur.) must be big
2224,sanakatotokenan,they (inan.) must be difficult,0p II Independent Dubitative,they(plur.) must be difficult
2225,pankissinotokenan,they (inan.) must be falling,0p II Independent Dubitative,they(plur.) must be falling
2226,maacaat,s/he leaves,3s AI Conjunct Indicative,they(sing.) leave
2227,waniššink,s/he is lost,3s AI Conjunct Indicative,they(sing.) are lost
2228,miiciwaakopanen,"they (anim.) must have ate it, them (inan.)",3p→0 TI3 Conjunct Dubitative Preterit,they(plur.) must have ate it
2229,miiciwaakopanen,"they (anim.) must have ate it, them (inan.)",3p→0 TI3 Conjunct Dubitative Preterit,they(plur.) must have ate them(plur.)
2230,maacaawaakopanen,they (anim.) must have left,3p AI Conjunct Dubitative Preterit,they(plur.) must have left
2231,waniššinowaakopanen,they (anim.) must have been lost,3p AI Conjunct Dubitative Preterit,they(plur.) must have been lost
2232,maaciwaakwen,"they (anim.) must be eating it, them (inan.)",3p→0 TI3 Conjunct Dubitative,they(plur.) must be eating it
2233,maaciwaakwen,"they (anim.) must be eating it, them (inan.)",3p→0 TI3 Conjunct Dubitative,they(plur.) must be eating them(plur.)
2234,mayaacaawaakwen,they (anim.) must be leaving,3p AI Conjunct Dubitative,they(plur.) must be leaving
2235,weniššinowaakwen,they (anim.) must be lost,3p AI Conjunct Dubitative,they(plur.) must be lost
2236,miiciwaampaanen,"I must have ate it, them (inan.)",1s→0 TI3 Conjunct Dubitative Preterit,I must have ate it
2237,miiciwaampaanen,"I must have ate it, them (inan.)",1s→0 TI3 Conjunct Dubitative Preterit,I must have ate them(plur.)
2238,maacaawaampaanen,I must have left,1s AI Conjunct Dubitative Preterit,I must have left
2239,waniššinowaampaanen,I must have been lost,1s AI Conjunct Dubitative Preterit,I must have been lost
2240,maaciwaanen,"I must be eating it, them (inan.)",1s→0 TI3 Conjunct Dubitative,I must be eating it
2241,maaciwaanen,"I must be eating it, them (inan.)",1s→0 TI3 Conjunct Dubitative,I must be eating them(plur.)
2242,mayaacaawaanen,I must be leaving,1s AI Conjunct Dubitative,I must be leaving
2243,weniššinowaanen,I must be lost,1s AI Conjunct Dubitative,I must be lost
2244,maaciwaanken,"we (excl.) must be eating it, them (inan.)",1p→0 TI3 Conjunct Dubitative,we must be eating it
2245,maaciwaanken,"we (excl.) must be eating it, them (inan.)",1p→0 TI3 Conjunct Dubitative,we must be eating them(plur.)
2246,mayaacaawaanken,we (excl.) must be leaving,1p AI Conjunct Dubitative,we must be leaving
2247,weniššinowaanken,we (excl.) must be lost,1p AI Conjunct Dubitative,we must be lost
2248,miiciwaankipanen,"we (excl.) must have ate it, them (inan.)",1p→0 TI3 Conjunct Dubitative Preterit,we must have ate it
2249,miiciwaankipanen,"we (excl.) must have ate it, them (inan.)",1p→0 TI3 Conjunct Dubitative Preterit,we must have ate them(plur.)
2250,maacaawaankipanen,we (excl.) must have left,1p AI Conjunct Dubitative Preterit,we must have left
2251,waniššinowaankipanen,we (excl.) must have been lost,1p AI Conjunct Dubitative Preterit,we must have been lost
2252,miiciwaappan,"they (anim.) ate it, them (inan.)",3p→0 TI3 Conjunct Preterit,they(plur.) ate it
2253,miiciwaappan,"they (anim.) ate it, them (inan.)",3p→0 TI3 Conjunct Preterit,they(plur.) ate them(plur.)
2254,maacaawaappan,they (anim.) left,3p AI Conjunct Preterit,they(plur.) left
2255,waniššinowaappan,they (anim.) were lost,3p AI Conjunct Preterit,they(plur.) were lost
2256,miiciwaat,"they (anim.) eat it, them (inan.)",3p→0 TI3 Conjunct Indicative,they(plur.) eat it
2257,miiciwaat,"they (anim.) eat it, them (inan.)",3p→0 TI3 Conjunct Indicative,they(plur.) eat them(plur.)
2258,maacaawak,they (anim.) leave,3p AI Independent Indicative,they(plur.) leave
2259,niimiwak,they (anim.) dance,3p AI Independent Indicative,they(plur.) dance
2260,waniššinook,they (anim.) are lost,3p AI Independent Indicative,they(plur.) are lost
2261,miiciwampanen,"you (sg.) must have ate it, them (inan.)",2s→0 TI3 Conjunct Dubitative Preterit,you must have ate it
2262,miiciwampanen,"you (sg.) must have ate it, them (inan.)",2s→0 TI3 Conjunct Dubitative Preterit,you must have ate them(plur.)
2263,maacaawampanen,you (sg.) must have left,2s AI Conjunct Dubitative Preterit,you must have left
2264,waniššinowampanen,you (sg.) must have been lost,2s AI Conjunct Dubitative Preterit,you must have been lost
2265,miccaawan,they (inan.) are big,0p II Independent Indicative,they(plur.) are big
2266,sanakatoon,they (inan.) are difficult,0p II Independent Indicative,they(plur.) are difficult
2267,pankissinoon,they (inan.) fall,0p II Independent Indicative,they(plur.) fall
2268,maacaawan,"s/he, they (obv.) leave(s)",3' AI Independent Indicative,they(plur.) leav
2269,maacaawan,"s/he, they (obv.) leave(s)",3' AI Independent Indicative,they(sing.) leav
2270,niimiwan,"s/he, they (obv.) dance(s)",3' AI Independent Indicative,they(plur.) danc
2271,niimiwan,"s/he, they (obv.) dance(s)",3' AI Independent Indicative,they(sing.) danc
2272,waniššinoon,"s/he, they (obv.) is/are lost",3' AI Independent Indicative,they(plur.) are lost
2273,waniššinoon,"s/he, they (obv.) is/are lost",3' AI Independent Indicative,they(sing.) are lost
2274,maaciwanen,"you (sg.) must be eating it, them (inan.)",2s→0 TI3 Conjunct Dubitative,you must be eating it
2275,maaciwanen,"you (sg.) must be eating it, them (inan.)",2s→0 TI3 Conjunct Dubitative,you must be eating them(plur.)
2276,mayaacaawanen,you (sg.) must be leaving,2s AI Conjunct Dubitative,you must be leaving
2277,weniššinowanen,you (sg.) must be lost,2s AI Conjunct Dubitative,you must be lost
2278,maaciwanken,"we (incl.) must be eating it, them (inan.)",21→0 TI3 Conjunct Dubitative,we must be eating it
2279,maaciwanken,"we (incl.) must be eating it, them (inan.)",21→0 TI3 Conjunct Dubitative,we must be eating them(plur.)
2280,mayaacaawanken,we (incl.) must be leaving,21 AI Conjunct Dubitative,we must be leaving
2281,weniššinowanken,we (incl.) must be lost,21 AI Conjunct Dubitative,we must be lost
2282,miiciwankipanen,"we (incl.) must have ate it, them (inan.)",21→0 TI3 Conjunct Dubitative Preterit,we must have ate it
2283,miiciwankipanen,"we (incl.) must have ate it, them (inan.)",21→0 TI3 Conjunct Dubitative Preterit,we must have ate them(plur.)
2284,maacaawankipanen,we (incl.) must have left,21 AI Conjunct Dubitative Preterit,we must have left
2285,waniššinowankipanen,we (incl.) must have been lost,21 AI Conjunct Dubitative Preterit,we must have been lost
2286,miiciwekipanen,"you (pl.) must have ate it, them (inan.)",2p→0 TI3 Conjunct Dubitative Preterit,you must have ate it
2287,miiciwekipanen,"you (pl.) must have ate it, them (inan.)",2p→0 TI3 Conjunct Dubitative Preterit,you must have ate them(plur.)
2288,maacaawekipanen,you (pl.) must have left,2p AI Conjunct Dubitative Preterit,you must have left
2289,waniššinowekipanen,you (pl.) must have been lost,2p AI Conjunct Dubitative Preterit,you must have been lost
2290,maaciwekwen,"you (pl.) must be eating it, them (inan.)",2p→0 TI3 Conjunct Dubitative,you must be eating it
2291,maaciwekwen,"you (pl.) must be eating it, them (inan.)",2p→0 TI3 Conjunct Dubitative,you must be eating them(plur.)
2292,mayaacaawekwen,you (pl.) must be leaving,2p AI Conjunct Dubitative,you must be leaving
2293,weniššinowekwen,you (pl.) must be lost,2p AI Conjunct Dubitative,you must be lost
2294,mayaacaawiinken,people must be leaving,X AI Conjunct Dubitative,people must be leaving
2295,weniššinowiinken,people must be lost,X AI Conjunct Dubitative,people must be lost
2296,maacaawiinkipanen,people must have left,X AI Conjunct Dubitative Preterit,people must have left
2297,waniššinowiinkipanen,people must have been lost,X AI Conjunct Dubitative Preterit,people must have been lost
2298,miiciyaampaan,"I ate it, them (inan.)",1s→0 TI3 Conjunct Preterit,I ate it
2299,miiciyaampaan,"I ate it, them (inan.)",1s→0 TI3 Conjunct Preterit,I ate them(plur.)
2300,miiciyaan,"I eat it, them (inan.)",1s→0 TI3 Conjunct Indicative,I eat it
2301,miiciyaan,"I eat it, them (inan.)",1s→0 TI3 Conjunct Indicative,I eat them(plur.)
2302,miiciyaank,"we (excl.) eat it, them (inan.)",1p→0 TI3 Conjunct Indicative,we eat it
2303,miiciyaank,"we (excl.) eat it, them (inan.)",1p→0 TI3 Conjunct Indicative,we eat them(plur.)
2304,miiciyaankipan,"we (excl.) ate it, them (inan.)",1p→0 TI3 Conjunct Preterit,we ate it
2305,miiciyaankipan,"we (excl.) ate it, them (inan.)",1p→0 TI3 Conjunct Preterit,we ate them(plur.)
2306,miiciyampan,"you (sg.) ate it, them (inan.)",2s→0 TI3 Conjunct Preterit,you ate it
2307,miiciyampan,"you (sg.) ate it, them (inan.)",2s→0 TI3 Conjunct Preterit,you ate them(plur.)
2308,miiciyan,"you (sg.) eat it, them (inan.)",2s→0 TI3 Conjunct Indicative,you eat it
2309,miiciyan,"you (sg.) eat it, them (inan.)",2s→0 TI3 Conjunct Indicative,you eat them(plur.)
2310,miiciyank,"we (incl.) eat it, them (inan.)",21→0 TI3 Conjunct Indicative,we eat it
2311,miiciyank,"we (incl.) eat it, them (inan.)",21→0 TI3 Conjunct Indicative,we eat them(plur.)
2312,miiciyankipan,"we (incl.) ate it, them (inan.)",21→0 TI3 Conjunct Preterit,we ate it
2313,miiciyankipan,"we (incl.) ate it, them (inan.)",21→0 TI3 Conjunct Preterit,we ate them(plur.)
2314,miiciyek,"you (pl.) eat it, them (inan.)",2p→0 TI3 Conjunct Indicative,you eat it
2315,miiciyek,"you (pl.) eat it, them (inan.)",2p→0 TI3 Conjunct Indicative,you eat them(plur.)
2316,miiciyekipan,"you (pl.) ate it, them (inan.)",2p→0 TI3 Conjunct Preterit,you ate it
2317,miiciyekipan,"you (pl.) ate it, them (inan.)",2p→0 TI3 Conjunct Preterit,you ate them(plur.)
2318,waapamaassiwekwaapan,you (pl.) did not see them (anim.),2p→3p TA Conjunct Preterit,you did not see them(plur.)
2319,kimaacaa,you (sg.) leave,2s AI Independent Indicative,you leave
2320,kiniim,you (sg.) dance,2s AI Independent Indicative,you dance
2321,kiwaniššin,you (sg.) are lost,2s AI Independent Indicative,you are lost
2322,kiwaapam,you (sg.) see me,2s→1s TA Independent Indicative,you see me
2323,kipakkitte',you (sg.) hit me,2s→1s TA Independent Indicative,you hit me
2324,kimawatišš,you (sg.) visit me,2s→1s TA Independent Indicative,you visit me
2325,kimiiš,you (sg.) give it to me,2s→1s TA Independent Indicative,you give it to me
2326,kikonš,you (sg.) swallow me,2s→1s TA Independent Indicative,you swallow me
2327,kiwaapamaa,you (sg.) see him/her,2s→3s TA Independent Indicative,you see them(sing.)
2328,kiwaapamaak,you (sg.) see them (anim.),2s→3p TA Independent Indicative,you see them(plur.)
2329,kiwaapantaamin,"we (incl.) see it, them (inan.)",21→0 TI1 Independent Indicative,we see it
2330,kiwaapantaamin,"we (incl.) see it, them (inan.)",21→0 TI1 Independent Indicative,we see them(plur.)
2331,kiwaapantaaminaapan,we (incl.) saw it,21→0s TI1 Independent Preterit,we saw it
2332,kiwaapantaaminaapanen,we (incl.) saw them (inan.),21→0p TI1 Independent Preterit,we saw them(plur.)
2333,kiwaapantaaminaatok,we (incl.) must be seeing it,21→0s TI1 Independent Dubitative,we must be seeing it
2334,kiwaapantaaminaatokenan,we (incl.) must be seeing them (inan.),21→0p TI1 Independent Dubitative,we must be seeing them(plur.)
2335,kiwaapantaan,you (sg.) see it,2s→0s TI1 Independent Indicative,you see it
2336,kiwaapamaanaan,we (incl.) see him/her,21→3s TA Independent Indicative,we see them(sing.)
2337,kiwaapamaanaanik,we (incl.) see them (anim.),21→3p TA Independent Indicative,we see them(plur.)
2338,kiwaapantaanaapan,you (sg.) saw it,2s→0s TI1 Independent Preterit,you saw it
2339,kiwaapamaanaapan,we (incl.) saw him/her,21→3s TA Independent Preterit,we saw them(sing.)
2340,kiwaapamaanaapanek,we (incl.) saw them (anim.),21→3p TA Independent Preterit,we saw them(plur.)
2341,kiwaapantaanaapanen,you (sg.) saw them (inan.),2s→0p TI1 Independent Preterit,you saw them(plur.)
2342,kiwaapantaanaatok,you (sg.) must be seeing it,2s→0s TI1 Independent Dubitative,you must be seeing it
2343,kiwaapamaanaatok,we (incl.) must be seeing him/her,21→3s TA Independent Dubitative,we must be seeing them(sing.)
