Southwestern Ojibwe,English(raw),Conjugation,English(formatted)
miicissiwaank,"we (excl.) do not eat it, them (inan.)",1p→0 TI3 Conjunct Indicative,"we do not eat it, them (inan.)"
maacaassiwaank,we (excl.) do not leave,1p AI Conjunct Indicative,we do not leave
waniššinsiwaank,we (excl.) are not lost,1p AI Conjunct Indicative,we are not lost
miicissiwaankipan,"we (excl.) did not eat it, them (inan.)",1p→0 TI3 Conjunct Preterit,"we did not eat it, them (inan.)"
miicissiwaankipan,"we (excl.) did not eat it, them (inan.)",1p→0 TI3 Conjunct Preterit,"we did not eat it, them (inan.)"
maacaassiwaankipan,we (excl.) did not leave,1p AI Conjunct Preterit,we did not leave
waniššinsiwaankipan,we (excl.) were not lost,1p AI Conjunct Preterit,we were not lost
miicissiwampan,"you (sg.) did not eat it, them (inan.)",2s→0 TI3 Conjunct Preterit,"you did not eat it, them (inan.)"
miicissiwampan,"you (sg.) did not eat it, them (inan.)",2s→0 TI3 Conjunct Preterit,"you did not eat it, them (inan.)"
maacaassiwampan,you (sg.) did not leave,2s AI Conjunct Preterit,you did not leave
waniššinsiwampan,you (sg.) were not lost,2s AI Conjunct Preterit,you were not lost
miicissiwan,"you (sg.) do not eat it, them (inan.)",2s→0 TI3 Conjunct Indicative,"you do not eat it, them (inan.)"
miicissiwan,"you (sg.) do not eat it, them (inan.)",2s→0 TI3 Conjunct Indicative,"you do not eat it, them (inan.)"
maacaassiwan,you (sg.) do not leave,2s AI Conjunct Indicative,you do not leave
waniššinsiwan,you (sg.) are not lost,2s AI Conjunct Indicative,you are not lost
miicissiwank,"we (incl.) do not eat it, them (inan.)",21→0 TI3 Conjunct Indicative,"we do not eat it, them (inan.)"
miicissiwank,"we (incl.) do not eat it, them (inan.)",21→0 TI3 Conjunct Indicative,"we do not eat it, them (inan.)"
maacaassiwank,we (incl.) do not leave,21 AI Conjunct Indicative,we do not leave
waniššinsiwank,we (incl.) are not lost,21 AI Conjunct Indicative,we are not lost
miicissiwankipan,"we (incl.) did not eat it, them (inan.)",21→0 TI3 Conjunct Preterit,"we did not eat it, them (inan.)"
miicissiwankipan,"we (incl.) did not eat it, them (inan.)",21→0 TI3 Conjunct Preterit,"we did not eat it, them (inan.)"
maacaassiwankipan,we (incl.) did not leave,21 AI Conjunct Preterit,we did not leave
waniššinsiwankipan,we (incl.) were not lost,21 AI Conjunct Preterit,we were not lost
miicissiwek,"you (pl.) do not eat it, them (inan.)",2p→0 TI3 Conjunct Indicative,"you do not eat it, them (inan.)"
miicissiwek,"you (pl.) do not eat it, them (inan.)",2p→0 TI3 Conjunct Indicative,"you do not eat it, them (inan.)"
maacaassiwek,you (pl.) do not leave,2p AI Conjunct Indicative,you do not leave
miicissiwekipan,"you (pl.) did not eat it, them (inan.)",2p→0 TI3 Conjunct Preterit,"you did not eat it, them (inan.)"
miicissiwekipan,"you (pl.) did not eat it, them (inan.)",2p→0 TI3 Conjunct Preterit,"you did not eat it, them (inan.)"
maacaassiwekipan,you (pl.) did not leave,2p AI Conjunct Preterit,you did not leave
waniššinsiwekipan,you (pl.) were not lost,2p AI Conjunct Preterit,you were not lost
miicit,"s/he eats it, them (inan.)",3s→0 TI3 Conjunct Indicative,"s/he eats it, them"
miicit,"s/he eats it, them (inan.)",3s→0 TI3 Conjunct Indicative,"s/he eats it, them"
miccaatok,it must be big,0s II Independent Dubitative,it must be big
sanakatotok,it must be difficult,0s II Independent Dubitative,it must be difficult
pankissinotok,it must be falling,0s II Independent Dubitative,it must be falling
miccaatokenan,they (inan.) must be big,0p II Independent Dubitative,they(plur.) must be big
sanakatotokenan,they (inan.) must be difficult,0p II Independent Dubitative,they(plur.) must be difficult
pankissinotokenan,they (inan.) must be falling,0p II Independent Dubitative,they(plur.) must be falling
maacaat,s/he leaves,3s AI Conjunct Indicative,FLAGthey(sing.) leaves
waniššink,s/he is lost,3s AI Conjunct Indicative,FLAGthey(sing.) is lost
miiciwaakopanen,"they (anim.) must have ate it, them (inan.)",3p→0 TI3 Conjunct Dubitative Preterit,"they(plur.) must have ate it, them (inan.)"
miiciwaakopanen,"they (anim.) must have ate it, them (inan.)",3p→0 TI3 Conjunct Dubitative Preterit," must have ate it, them (inan.)"
maacaawaakopanen,they (anim.) must have left,3p AI Conjunct Dubitative Preterit,they(plur.) must have left
waniššinowaakopanen,they (anim.) must have been lost,3p AI Conjunct Dubitative Preterit,they(plur.) must have been lost
maaciwaakwen,"they (anim.) must be eating it, them (inan.)",3p→0 TI3 Conjunct Dubitative,"they(plur.) must be eating it, them (inan.)"
maaciwaakwen,"they (anim.) must be eating it, them (inan.)",3p→0 TI3 Conjunct Dubitative," must be eating it, them (inan.)"
mayaacaawaakwen,they (anim.) must be leaving,3p AI Conjunct Dubitative,they(plur.) must be leaving
weniššinowaakwen,they (anim.) must be lost,3p AI Conjunct Dubitative,they(plur.) must be lost
miiciwaampaanen,"I must have ate it, them (inan.)",1s→0 TI3 Conjunct Dubitative Preterit,"I must have ate it, them"
miiciwaampaanen,"I must have ate it, them (inan.)",1s→0 TI3 Conjunct Dubitative Preterit,"I must have ate it, them"
maacaawaampaanen,I must have left,1s AI Conjunct Dubitative Preterit,I must have left
waniššinowaampaanen,I must have been lost,1s AI Conjunct Dubitative Preterit,I must have been lost
maaciwaanen,"I must be eating it, them (inan.)",1s→0 TI3 Conjunct Dubitative,"I must be eating it, them"
maaciwaanen,"I must be eating it, them (inan.)",1s→0 TI3 Conjunct Dubitative,"I must be eating it, them"
mayaacaawaanen,I must be leaving,1s AI Conjunct Dubitative,I must be leaving
weniššinowaanen,I must be lost,1s AI Conjunct Dubitative,I must be lost
maaciwaanken,"we (excl.) must be eating it, them (inan.)",1p→0 TI3 Conjunct Dubitative,"we must be eating it, them (inan.)"
maaciwaanken,"we (excl.) must be eating it, them (inan.)",1p→0 TI3 Conjunct Dubitative,"we must be eating it, them (inan.)"
mayaacaawaanken,we (excl.) must be leaving,1p AI Conjunct Dubitative,we must be leaving
weniššinowaanken,we (excl.) must be lost,1p AI Conjunct Dubitative,we must be lost
miiciwaankipanen,"we (excl.) must have ate it, them (inan.)",1p→0 TI3 Conjunct Dubitative Preterit,"we must have ate it, them (inan.)"
miiciwaankipanen,"we (excl.) must have ate it, them (inan.)",1p→0 TI3 Conjunct Dubitative Preterit,"we must have ate it, them (inan.)"
maacaawaankipanen,we (excl.) must have left,1p AI Conjunct Dubitative Preterit,we must have left
waniššinowaankipanen,we (excl.) must have been lost,1p AI Conjunct Dubitative Preterit,we must have been lost
miiciwaappan,"they (anim.) ate it, them (inan.)",3p→0 TI3 Conjunct Preterit,"they(plur.) ate it, them (inan.)"
miiciwaappan,"they (anim.) ate it, them (inan.)",3p→0 TI3 Conjunct Preterit," ate it, them (inan.)"
maacaawaappan,they (anim.) left,3p AI Conjunct Preterit,they(plur.) left
waniššinowaappan,they (anim.) were lost,3p AI Conjunct Preterit,they(plur.) were lost
miiciwaat,"they (anim.) eat it, them (inan.)",3p→0 TI3 Conjunct Indicative,"they(plur.) eat it, them (inan.)"
miiciwaat,"they (anim.) eat it, them (inan.)",3p→0 TI3 Conjunct Indicative," eat it, them (inan.)"
maacaawak,they (anim.) leave,3p AI Independent Indicative,they(plur.) leave
niimiwak,they (anim.) dance,3p AI Independent Indicative,they(plur.) dance
waniššinook,they (anim.) are lost,3p AI Independent Indicative,they(plur.) are lost
miiciwampanen,"you (sg.) must have ate it, them (inan.)",2s→0 TI3 Conjunct Dubitative Preterit,"you must have ate it, them (inan.)"
miiciwampanen,"you (sg.) must have ate it, them (inan.)",2s→0 TI3 Conjunct Dubitative Preterit,"you must have ate it, them (inan.)"
maacaawampanen,you (sg.) must have left,2s AI Conjunct Dubitative Preterit,you must have left
waniššinowampanen,you (sg.) must have been lost,2s AI Conjunct Dubitative Preterit,you must have been lost
miccaawan,they (inan.) are big,0p II Independent Indicative,they(plur.) are big
sanakatoon,they (inan.) are difficult,0p II Independent Indicative,they(plur.) are difficult
pankissinoon,they (inan.) fall,0p II Independent Indicative,they(plur.) fall
maacaawan,"s/he, they (obv.) leave(s)",3' AI Independent Indicative,they(plur.) leave(s)
maacaawan,"s/he, they (obv.) leave(s)",3' AI Independent Indicative,they(sing.) leave(s)
niimiwan,"s/he, they (obv.) dance(s)",3' AI Independent Indicative,they(plur.) dance(s)
niimiwan,"s/he, they (obv.) dance(s)",3' AI Independent Indicative,they(sing.) dance(s)
waniššinoon,"s/he, they (obv.) is/are lost",3' AI Independent Indicative,they(plur.) is/are lost
waniššinoon,"s/he, they (obv.) is/are lost",3' AI Independent Indicative,they(sing.) is/are lost
maaciwanen,"you (sg.) must be eating it, them (inan.)",2s→0 TI3 Conjunct Dubitative,"you must be eating it, them (inan.)"
maaciwanen,"you (sg.) must be eating it, them (inan.)",2s→0 TI3 Conjunct Dubitative,"you must be eating it, them (inan.)"
mayaacaawanen,you (sg.) must be leaving,2s AI Conjunct Dubitative,you must be leaving
weniššinowanen,you (sg.) must be lost,2s AI Conjunct Dubitative,you must be lost
maaciwanken,"we (incl.) must be eating it, them (inan.)",21→0 TI3 Conjunct Dubitative,"we must be eating it, them (inan.)"
maaciwanken,"we (incl.) must be eating it, them (inan.)",21→0 TI3 Conjunct Dubitative,"we must be eating it, them (inan.)"
mayaacaawanken,we (incl.) must be leaving,21 AI Conjunct Dubitative,we must be leaving
weniššinowanken,we (incl.) must be lost,21 AI Conjunct Dubitative,we must be lost
miiciwankipanen,"we (incl.) must have ate it, them (inan.)",21→0 TI3 Conjunct Dubitative Preterit,"we must have ate it, them (inan.)"
miiciwankipanen,"we (incl.) must have ate it, them (inan.)",21→0 TI3 Conjunct Dubitative Preterit,"we must have ate it, them (inan.)"
maacaawankipanen,we (incl.) must have left,21 AI Conjunct Dubitative Preterit,we must have left
waniššinowankipanen,we (incl.) must have been lost,21 AI Conjunct Dubitative Preterit,we must have been lost
miiciwekipanen,"you (pl.) must have ate it, them (inan.)",2p→0 TI3 Conjunct Dubitative Preterit,"you must have ate it, them (inan.)"
miiciwekipanen,"you (pl.) must have ate it, them (inan.)",2p→0 TI3 Conjunct Dubitative Preterit,"you must have ate it, them (inan.)"
maacaawekipanen,you (pl.) must have left,2p AI Conjunct Dubitative Preterit,you must have left
waniššinowekipanen,you (pl.) must have been lost,2p AI Conjunct Dubitative Preterit,you must have been lost
maaciwekwen,"you (pl.) must be eating it, them (inan.)",2p→0 TI3 Conjunct Dubitative,"you must be eating it, them (inan.)"
maaciwekwen,"you (pl.) must be eating it, them (inan.)",2p→0 TI3 Conjunct Dubitative,"you must be eating it, them (inan.)"
mayaacaawekwen,you (pl.) must be leaving,2p AI Conjunct Dubitative,you must be leaving
weniššinowekwen,you (pl.) must be lost,2p AI Conjunct Dubitative,you must be lost
mayaacaawiinken,people must be leaving,X AI Conjunct Dubitative,people must be leaving
weniššinowiinken,people must be lost,X AI Conjunct Dubitative,people must be lost
maacaawiinkipanen,people must have left,X AI Conjunct Dubitative Preterit,people must have left
waniššinowiinkipanen,people must have been lost,X AI Conjunct Dubitative Preterit,people must have been lost
miiciyaampaan,"I ate it, them (inan.)",1s→0 TI3 Conjunct Preterit,"I ate it, them"
miiciyaampaan,"I ate it, them (inan.)",1s→0 TI3 Conjunct Preterit,"I ate it, them"
miiciyaan,"I eat it, them (inan.)",1s→0 TI3 Conjunct Indicative,"I eat it, them"
miiciyaan,"I eat it, them (inan.)",1s→0 TI3 Conjunct Indicative,"I eat it, them"
miiciyaank,"we (excl.) eat it, them (inan.)",1p→0 TI3 Conjunct Indicative,"we eat it, them (inan.)"
miiciyaank,"we (excl.) eat it, them (inan.)",1p→0 TI3 Conjunct Indicative,"we eat it, them (inan.)"
miiciyaankipan,"we (excl.) ate it, them (inan.)",1p→0 TI3 Conjunct Preterit,"we ate it, them (inan.)"
miiciyaankipan,"we (excl.) ate it, them (inan.)",1p→0 TI3 Conjunct Preterit,"we ate it, them (inan.)"
miiciyampan,"you (sg.) ate it, them (inan.)",2s→0 TI3 Conjunct Preterit,"you ate it, them (inan.)"
miiciyampan,"you (sg.) ate it, them (inan.)",2s→0 TI3 Conjunct Preterit,"you ate it, them (inan.)"
miiciyan,"you (sg.) eat it, them (inan.)",2s→0 TI3 Conjunct Indicative,"you eat it, them (inan.)"
miiciyan,"you (sg.) eat it, them (inan.)",2s→0 TI3 Conjunct Indicative,"you eat it, them (inan.)"
miiciyank,"we (incl.) eat it, them (inan.)",21→0 TI3 Conjunct Indicative,"we eat it, them (inan.)"
miiciyank,"we (incl.) eat it, them (inan.)",21→0 TI3 Conjunct Indicative,"we eat it, them (inan.)"
miiciyankipan,"we (incl.) ate it, them (inan.)",21→0 TI3 Conjunct Preterit,"we ate it, them (inan.)"
miiciyankipan,"we (incl.) ate it, them (inan.)",21→0 TI3 Conjunct Preterit,"we ate it, them (inan.)"
miiciyek,"you (pl.) eat it, them (inan.)",2p→0 TI3 Conjunct Indicative,"you eat it, them (inan.)"
miiciyek,"you (pl.) eat it, them (inan.)",2p→0 TI3 Conjunct Indicative,"you eat it, them (inan.)"
miiciyekipan,"you (pl.) ate it, them (inan.)",2p→0 TI3 Conjunct Preterit,"you ate it, them (inan.)"
miiciyekipan,"you (pl.) ate it, them (inan.)",2p→0 TI3 Conjunct Preterit,"you ate it, them (inan.)"
waapamaassiwekwaapan,you (pl.) did not see them (anim.),2p→3p TA Conjunct Preterit,you did not see them (anim.)
kimaacaa,you (sg.) leave,2s AI Independent Indicative,you leave
kiniim,you (sg.) dance,2s AI Independent Indicative,you dance
kiwaniššin,you (sg.) are lost,2s AI Independent Indicative,you are lost
kiwaapam,you (sg.) see me,2s→1s TA Independent Indicative,you see me
kipakkitte',you (sg.) hit me,2s→1s TA Independent Indicative,you hit me
kimawatišš,you (sg.) visit me,2s→1s TA Independent Indicative,you visit me
kimiiš,you (sg.) give it to me,2s→1s TA Independent Indicative,you give it to me
kikonš,you (sg.) swallow me,2s→1s TA Independent Indicative,you swallow me
kiwaapamaa,you (sg.) see him/her,2s→3s TA Independent Indicative,you see him/her
kiwaapamaak,you (sg.) see them (anim.),2s→3p TA Independent Indicative,you see them (anim.)
kiwaapantaamin,"we (incl.) see it, them (inan.)",21→0 TI1 Independent Indicative,"we see it, them (inan.)"
kiwaapantaamin,"we (incl.) see it, them (inan.)",21→0 TI1 Independent Indicative,"we see it, them (inan.)"
kiwaapantaaminaapan,we (incl.) saw it,21→0s TI1 Independent Preterit,we saw it
kiwaapantaaminaapanen,we (incl.) saw them (inan.),21→0p TI1 Independent Preterit,we saw them (inan.)
kiwaapantaaminaatok,we (incl.) must be seeing it,21→0s TI1 Independent Dubitative,we must be seeing it
kiwaapantaaminaatokenan,we (incl.) must be seeing them (inan.),21→0p TI1 Independent Dubitative,we must be seeing them (inan.)
kiwaapantaan,you (sg.) see it,2s→0s TI1 Independent Indicative,you see it
kiwaapamaanaan,we (incl.) see him/her,21→3s TA Independent Indicative,we see him/her
kiwaapamaanaanik,we (incl.) see them (anim.),21→3p TA Independent Indicative,we see them (anim.)
kiwaapantaanaapan,you (sg.) saw it,2s→0s TI1 Independent Preterit,you saw it
kiwaapamaanaapan,we (incl.) saw him/her,21→3s TA Independent Preterit,we saw him/her
kiwaapamaanaapanek,we (incl.) saw them (anim.),21→3p TA Independent Preterit,we saw them (anim.)
kiwaapantaanaapanen,you (sg.) saw them (inan.),2s→0p TI1 Independent Preterit,you saw them (inan.)
kiwaapantaanaatok,you (sg.) must be seeing it,2s→0s TI1 Independent Dubitative,you must be seeing it
kiwaapamaanaatok,we (incl.) must be seeing him/her,21→3s TA Independent Dubitative,we must be seeing him/her
